src_ip,dst_ip,proto,dst_port,packets,bytes,duration,label
10.0.0.12,10.0.0.10,6,5201,255,73162,4.199,0
192.168.1.96,10.0.0.12,6,80,41588,3574245,1.193,1
10.0.0.11,10.0.0.3,17,80,725,68722,5.791,0
10.0.0.12,10.0.0.9,6,22,794,17976,7.368,0
10.0.0.4,10.0.0.2,6,80,233,67087,5.744,0
10.0.0.3,10.0.0.9,6,443,12,54345,5.681,0
10.0.0.11,10.0.0.2,6,443,711,56401,10.11,0
10.0.0.4,10.0.0.2,17,5201,273,25575,0.563,0
10.0.0.4,10.0.0.11,17,443,44,79379,6.371,0
10.0.0.7,10.0.0.7,6,5201,660,71235,8.474,0
10.0.0.3,10.0.0.2,17,22,656,23976,4.104,0
10.0.0.8,10.0.0.7,17,443,783,67954,1.809,0
10.0.0.2,10.0.0.11,17,22,443,54683,5.871,0
10.0.0.11,10.0.0.2,6,22,260,30056,2.105,0
10.0.0.6,10.0.0.11,17,80,642,9768,3.2,0
10.0.0.6,10.0.0.5,6,443,573,50428,5.138,0
192.168.3.137,10.0.0.12,6,80,38210,2181146,1.222,1
10.0.0.7,10.0.0.2,17,5201,549,41225,1.022,0
10.0.0.3,10.0.0.11,6,5201,620,9126,4.925,0
10.0.0.10,10.0.0.6,17,80,730,46895,11.397,0
192.168.5.124,10.0.0.12,6,80,54195,2045930,0.315,1
192.168.3.225,10.0.0.12,6,80,33373,3917764,1.982,1
10.0.0.4,10.0.0.5,6,22,240,71265,3.82,0
10.0.0.8,10.0.0.1,6,22,402,18787,5.321,0
10.0.0.2,10.0.0.7,17,80,621,63005,3.554,0
10.0.0.8,10.0.0.12,6,22,92,19948,1.144,0
192.168.2.178,10.0.0.12,6,80,53793,3302888,0.135,1
10.0.0.10,10.0.0.10,6,80,105,64008,8.083,0
10.0.0.5,10.0.0.9,17,80,727,77814,6.509,0
192.168.3.252,10.0.0.12,6,80,32591,3127776,1.115,1
10.0.0.9,10.0.0.3,17,5201,104,46596,3.044,0
10.0.0.8,10.0.0.2,6,80,22,8883,10.049,0
10.0.0.11,10.0.0.10,6,80,708,42865,4.886,0
10.0.0.10,10.0.0.6,17,5201,785,71253,9.723,0
192.168.3.182,10.0.0.12,6,80,10072,1638742,0.886,1
192.168.5.39,10.0.0.12,6,80,56565,2929952,0.543,1
10.0.0.8,10.0.0.6,17,443,434,13778,10.087,0
10.0.0.11,10.0.0.7,17,80,516,43400,2.591,0
10.0.0.5,10.0.0.11,17,5201,472,10698,7.787,0
10.0.0.3,10.0.0.1,17,443,339,33340,5.287,0
10.0.0.12,10.0.0.9,6,443,509,31297,4.143,0
192.168.1.211,10.0.0.12,6,80,37177,1238927,0.685,1
10.0.0.10,10.0.0.5,6,22,220,68662,7.48,0
192.168.5.82,10.0.0.12,6,80,58645,2350173,1.375,1
10.0.0.8,10.0.0.5,6,22,587,8879,2.238,0
10.0.0.10,10.0.0.3,6,5201,565,41308,2.519,0
10.0.0.5,10.0.0.3,6,80,728,75882,5.003,0
10.0.0.1,10.0.0.5,17,5201,302,71145,0.594,0
10.0.0.9,10.0.0.1,17,443,675,9793,9.484,0
192.168.4.14,10.0.0.12,6,80,36564,1107927,0.511,1
192.168.2.23,10.0.0.12,6,80,34980,2688456,1.03,1
10.0.0.1,10.0.0.12,17,5201,291,8318,1.363,0
10.0.0.1,10.0.0.4,6,80,113,78649,0.886,0
192.168.3.251,10.0.0.12,6,80,30534,1120523,0.809,1
10.0.0.3,10.0.0.2,6,443,367,46819,8.865,0
10.0.0.1,10.0.0.4,17,80,543,28121,5.937,0
192.168.2.74,10.0.0.12,6,80,13042,958709,0.413,1
192.168.1.6,10.0.0.12,6,80,23225,2679446,1.325,1
10.0.0.5,10.0.0.4,17,80,633,5748,8.832,0
10.0.0.10,10.0.0.6,6,443,698,41487,3.083,0
10.0.0.3,10.0.0.2,17,5201,371,52592,5.163,0
10.0.0.10,10.0.0.11,6,5201,303,30962,7.481,0
10.0.0.4,10.0.0.6,17,80,703,39969,3.492,0
10.0.0.6,10.0.0.11,17,443,455,23886,8.939,0
10.0.0.12,10.0.0.8,17,80,317,6656,9.817,0
10.0.0.9,10.0.0.2,6,22,95,21812,3.637,0
192.168.4.83,10.0.0.12,6,80,52874,2915995,0.27,1
192.168.1.181,10.0.0.12,6,80,50713,2990286,1.785,1
10.0.0.7,10.0.0.2,6,80,274,29898,6.373,0
10.0.0.12,10.0.0.1,6,80,785,59656,2.488,0
10.0.0.3,10.0.0.12,17,443,494,54154,2.69,0
192.168.5.232,10.0.0.12,6,80,51484,2709555,0.183,1
10.0.0.4,10.0.0.10,17,443,119,16512,11.082,0
192.168.1.104,10.0.0.12,6,80,40729,3723398,0.376,1
10.0.0.11,10.0.0.12,17,443,752,26162,3.883,0
192.168.5.187,10.0.0.12,6,80,49409,2587677,1.036,1
10.0.0.4,10.0.0.6,6,80,181,71313,6.632,0
10.0.0.8,10.0.0.2,17,22,428,44487,4.192,0
192.168.4.121,10.0.0.12,6,80,9490,1891991,0.497,1
10.0.0.3,10.0.0.11,6,80,553,74631,0.597,0
10.0.0.3,10.0.0.7,17,5201,676,26943,9.193,0
192.168.2.207,10.0.0.12,6,80,55710,2277681,1.484,1
10.0.0.12,10.0.0.8,6,443,15,72935,11.746,0
10.0.0.8,10.0.0.10,17,5201,566,5618,9.593,0
10.0.0.1,10.0.0.6,17,22,77,28453,11.001,0
192.168.3.205,10.0.0.12,6,80,52125,3407588,1.637,1
10.0.0.4,10.0.0.5,17,443,314,38680,8.606,0
10.0.0.7,10.0.0.7,17,5201,14,5744,6.638,0
192.168.3.141,10.0.0.12,6,80,28872,1636874,0.369,1
10.0.0.7,10.0.0.12,6,22,624,41753,4.544,0
192.168.5.30,10.0.0.12,6,80,12643,1486919,1.471,1
10.0.0.3,10.0.0.5,17,443,562,27165,8.699,0
10.0.0.6,10.0.0.12,17,22,623,73482,2.344,0
192.168.3.199,10.0.0.12,6,80,37221,578705,1.803,1
10.0.0.8,10.0.0.12,6,5201,469,1488,10.917,0
192.168.3.25,10.0.0.12,6,80,43023,2932891,0.768,1
192.168.3.176,10.0.0.12,6,80,50232,3478861,1.556,1
10.0.0.4,10.0.0.10,17,5201,214,16874,2.061,0
10.0.0.10,10.0.0.4,6,80,263,32408,3.565,0
10.0.0.4,10.0.0.3,6,80,260,63077,7.53,0
192.168.3.13,10.0.0.12,6,80,26996,1723327,1.106,1
192.168.2.194,10.0.0.12,6,80,35207,1204856,1.423,1
10.0.0.12,10.0.0.1,17,22,275,55662,5.153,0
192.168.3.140,10.0.0.12,6,80,53490,1490503,0.429,1
10.0.0.4,10.0.0.5,6,22,730,54507,3.897,0
10.0.0.7,10.0.0.10,17,443,65,48094,0.544,0
192.168.5.206,10.0.0.12,6,80,20108,964917,1.422,1
10.0.0.11,10.0.0.8,6,443,78,31732,9.453,0
10.0.0.2,10.0.0.4,6,443,559,59600,2.112,0
192.168.3.245,10.0.0.12,6,80,25345,1246290,0.937,1
10.0.0.11,10.0.0.8,6,80,171,58640,5.75,0
10.0.0.3,10.0.0.11,17,80,237,47367,3.068,0
10.0.0.3,10.0.0.1,17,5201,579,72905,3.373,0
10.0.0.4,10.0.0.9,17,443,184,23746,1.408,0
192.168.4.123,10.0.0.12,6,80,36577,2194132,1.704,1
192.168.5.188,10.0.0.12,6,80,29726,2265869,0.771,1
192.168.5.28,10.0.0.12,6,80,37596,2416379,1.671,1
10.0.0.8,10.0.0.8,17,22,198,7534,3.404,0
10.0.0.12,10.0.0.4,6,443,348,74180,5.403,0
10.0.0.4,10.0.0.3,17,5201,520,41241,6.22,0
10.0.0.7,10.0.0.8,17,80,36,12546,4.57,0
192.168.2.36,10.0.0.12,6,80,10339,1309889,0.148,1
10.0.0.2,10.0.0.2,6,22,243,41888,4.144,0
10.0.0.11,10.0.0.5,6,5201,128,41216,9.526,0
10.0.0.9,10.0.0.5,6,5201,115,2407,7.102,0
10.0.0.3,10.0.0.1,6,22,520,54800,10.652,0
192.168.2.184,10.0.0.12,6,80,36025,2050340,0.834,1
192.168.3.45,10.0.0.12,6,80,54523,1777938,0.155,1
10.0.0.5,10.0.0.6,17,80,195,19576,7.013,0
10.0.0.11,10.0.0.11,6,22,461,5173,7.165,0
10.0.0.12,10.0.0.12,17,22,378,18403,8.315,0
192.168.2.125,10.0.0.12,6,80,19849,3852809,1.102,1
10.0.0.6,10.0.0.8,17,80,523,19014,5.559,0
192.168.3.208,10.0.0.12,6,80,56360,3345406,0.864,1
10.0.0.11,10.0.0.3,6,443,722,8486,11.788,0
192.168.3.145,10.0.0.12,6,80,55511,3344567,0.699,1
10.0.0.3,10.0.0.9,17,80,783,6975,10.403,0
10.0.0.4,10.0.0.12,17,22,375,17605,8.22,0
10.0.0.5,10.0.0.4,17,22,337,71598,1.427,0
10.0.0.11,10.0.0.5,17,443,654,6329,9.064,0
10.0.0.11,10.0.0.10,6,80,607,63773,2.461,0
10.0.0.6,10.0.0.5,6,443,791,44918,1.675,0
10.0.0.6,10.0.0.10,17,443,571,35252,3.227,0
10.0.0.9,10.0.0.5,17,5201,380,29546,11.969,0
10.0.0.10,10.0.0.4,6,443,703,27896,3.594,0
10.0.0.2,10.0.0.7,6,22,754,48743,9.284,0
192.168.4.18,10.0.0.12,6,80,47207,956108,1.402,1
192.168.5.210,10.0.0.12,6,80,37494,2113610,0.775,1
192.168.4.21,10.0.0.12,6,80,8416,530299,0.441,1
192.168.1.154,10.0.0.12,6,80,57324,1201018,1.133,1
192.168.4.160,10.0.0.12,6,80,19783,2405868,1.068,1
192.168.5.198,10.0.0.12,6,80,20774,2680838,0.741,1
192.168.3.88,10.0.0.12,6,80,33955,3538339,1.181,1
10.0.0.1,10.0.0.9,17,443,714,63801,4.302,0
192.168.2.194,10.0.0.12,6,80,21406,777395,0.436,1
10.0.0.11,10.0.0.7,6,443,619,34601,4.177,0
192.168.4.229,10.0.0.12,6,80,22461,808405,0.995,1
10.0.0.4,10.0.0.10,17,443,430,6520,4.159,0
10.0.0.11,10.0.0.2,17,22,276,48112,4.644,0
192.168.1.214,10.0.0.12,6,80,19510,1313760,0.728,1
192.168.5.148,10.0.0.12,6,80,32049,640349,1.959,1
192.168.3.14,10.0.0.12,6,80,12152,2063694,0.756,1
192.168.1.36,10.0.0.12,6,80,52433,2810893,0.322,1
10.0.0.4,10.0.0.4,6,443,43,60627,1.081,0
10.0.0.7,10.0.0.2,6,443,366,41680,4.445,0
10.0.0.3,10.0.0.5,6,443,290,6765,11.704,0
10.0.0.6,10.0.0.7,17,443,466,6648,3.528,0
10.0.0.7,10.0.0.1,6,5201,478,78042,11.496,0
10.0.0.2,10.0.0.3,6,22,153,71397,2.759,0
192.168.3.230,10.0.0.12,6,80,25521,2612108,1.392,1
10.0.0.2,10.0.0.10,17,443,761,10918,8.821,0
10.0.0.11,10.0.0.12,17,5201,780,78805,7.115,0
192.168.4.237,10.0.0.12,6,80,26113,3726926,0.911,1
192.168.5.43,10.0.0.12,6,80,36748,1521919,1.859,1
10.0.0.7,10.0.0.7,6,443,775,79744,11.18,0
10.0.0.10,10.0.0.10,17,22,652,42236,2.236,0
10.0.0.4,10.0.0.4,6,22,221,30842,2.832,0
192.168.1.161,10.0.0.12,6,80,59287,1763323,0.761,1
10.0.0.5,10.0.0.1,6,22,799,17946,7.827,0
10.0.0.4,10.0.0.3,17,5201,610,9465,4.067,0
192.168.2.246,10.0.0.12,6,80,21294,514818,1.283,1
10.0.0.12,10.0.0.8,17,22,19,57218,9.677,0
10.0.0.10,10.0.0.2,17,443,503,46118,8.133,0
10.0.0.6,10.0.0.9,17,5201,54,39654,10.83,0
10.0.0.6,10.0.0.5,17,443,151,54899,7.429,0
10.0.0.9,10.0.0.5,17,443,778,76384,1.975,0
10.0.0.12,10.0.0.2,17,22,171,23618,9.628,0
10.0.0.12,10.0.0.11,6,80,29,67276,7.764,0
10.0.0.1,10.0.0.2,6,5201,799,58859,3.342,0
10.0.0.9,10.0.0.9,17,80,430,47146,10.546,0
10.0.0.4,10.0.0.2,17,80,208,42452,6.087,0
10.0.0.12,10.0.0.2,6,443,681,65209,11.177,0
192.168.1.250,10.0.0.12,6,80,57528,3706244,0.985,1
10.0.0.9,10.0.0.8,17,80,400,38355,5.833,0
10.0.0.5,10.0.0.7,17,22,276,77551,3.882,0
192.168.5.112,10.0.0.12,6,80,24902,3134006,1.403,1
10.0.0.11,10.0.0.11,17,80,792,71772,11.517,0
10.0.0.11,10.0.0.9,6,80,401,47869,6.016,0
10.0.0.12,10.0.0.11,17,443,533,38501,8.469,0
10.0.0.4,10.0.0.10,17,80,519,72309,3.831,0
192.168.4.32,10.0.0.12,6,80,45174,2745228,1.877,1
192.168.1.27,10.0.0.12,6,80,42116,3713592,1.352,1
10.0.0.10,10.0.0.12,6,5201,579,65762,1.039,0
192.168.3.51,10.0.0.12,6,80,9477,850599,1.123,1
10.0.0.4,10.0.0.11,17,22,379,39279,3.012,0
192.168.4.228,10.0.0.12,6,80,24173,2293298,0.869,1
10.0.0.12,10.0.0.8,17,22,267,31017,1.888,0
10.0.0.12,10.0.0.5,6,22,139,36027,8.929,0
10.0.0.10,10.0.0.2,6,22,555,56948,8.107,0
10.0.0.4,10.0.0.9,6,443,437,23840,11.24,0
10.0.0.7,10.0.0.12,6,443,502,74108,2.778,0
192.168.2.152,10.0.0.12,6,80,39030,2440968,0.63,1
10.0.0.11,10.0.0.10,17,443,731,9916,1.027,0
10.0.0.10,10.0.0.11,17,5201,462,58754,8.27,0
192.168.1.103,10.0.0.12,6,80,48469,1424276,0.947,1
10.0.0.11,10.0.0.11,17,5201,333,10308,0.607,0
10.0.0.8,10.0.0.8,17,80,667,72119,4.957,0
10.0.0.8,10.0.0.1,17,443,143,45463,8.745,0
192.168.1.43,10.0.0.12,6,80,38409,2172456,1.005,1
10.0.0.7,10.0.0.8,6,443,400,75763,4.628,0
10.0.0.4,10.0.0.1,17,22,537,52996,11.875,0
10.0.0.10,10.0.0.8,17,80,457,14675,3.298,0
10.0.0.3,10.0.0.8,6,80,576,57529,10.146,0
10.0.0.4,10.0.0.12,17,22,252,40352,10.577,0
192.168.2.122,10.0.0.12,6,80,17114,1289480,1.155,1
10.0.0.12,10.0.0.8,6,5201,90,73157,3.872,0
10.0.0.2,10.0.0.8,6,22,773,10998,3.237,0
192.168.2.78,10.0.0.12,6,80,39104,2703272,1.975,1
10.0.0.7,10.0.0.4,6,22,172,36716,1.573,0
10.0.0.11,10.0.0.6,6,22,373,28260,8.207,0
192.168.5.137,10.0.0.12,6,80,55149,996552,0.45,1
10.0.0.12,10.0.0.11,17,443,119,13424,6.53,0
10.0.0.10,10.0.0.7,17,443,791,62536,11.476,0
192.168.4.119,10.0.0.12,6,80,58582,1081430,1.761,1
10.0.0.11,10.0.0.9,6,5201,317,36864,1.201,0
192.168.3.56,10.0.0.12,6,80,42412,1768014,0.433,1
10.0.0.2,10.0.0.8,6,443,224,77860,8.425,0
192.168.1.154,10.0.0.12,6,80,56861,2017329,1.204,1
10.0.0.8,10.0.0.12,17,5201,182,46960,2.447,0
10.0.0.4,10.0.0.5,6,5201,650,32199,6.441,0
10.0.0.8,10.0.0.4,6,22,490,26230,4.73,0
10.0.0.12,10.0.0.2,6,5201,579,52882,6.849,0
10.0.0.12,10.0.0.12,6,443,541,27976,6.95,0
10.0.0.12,10.0.0.3,6,22,344,55260,2.52,0
10.0.0.4,10.0.0.2,17,5201,596,59533,1.512,0
10.0.0.2,10.0.0.8,17,22,345,12122,6.861,0
10.0.0.1,10.0.0.5,17,22,166,26515,4.293,0
192.168.3.215,10.0.0.12,6,80,59976,1394359,1.552,1
10.0.0.2,10.0.0.9,6,80,272,31098,5.753,0
10.0.0.5,10.0.0.6,6,80,177,41568,1.743,0
10.0.0.6,10.0.0.12,6,5201,665,34326,9.369,0
192.168.3.44,10.0.0.12,6,80,59725,1590550,0.531,1
10.0.0.2,10.0.0.7,6,5201,237,26958,9.891,0
10.0.0.6,10.0.0.4,17,443,774,25725,6.238,0
10.0.0.9,10.0.0.11,6,80,142,24214,10.545,0
192.168.3.86,10.0.0.12,6,80,52684,1770153,0.861,1
192.168.1.107,10.0.0.12,6,80,10898,668018,1.983,1
10.0.0.7,10.0.0.9,17,5201,711,65251,5.28,0
10.0.0.8,10.0.0.7,17,80,512,58938,1.345,0
10.0.0.2,10.0.0.3,17,5201,720,65742,3.815,0
10.0.0.6,10.0.0.12,6,80,80,62675,0.865,0
192.168.3.249,10.0.0.12,6,80,26883,3728564,1.706,1
192.168.2.8,10.0.0.12,6,80,38850,3333235,0.196,1
192.168.1.35,10.0.0.12,6,80,14551,3817913,1.71,1
10.0.0.12,10.0.0.3,6,80,613,66943,2.443,0
10.0.0.7,10.0.0.6,6,22,264,38455,1.57,0
192.168.5.67,10.0.0.12,6,80,31819,2144489,0.448,1
192.168.5.72,10.0.0.12,6,80,26036,1577750,0.127,1
10.0.0.10,10.0.0.9,17,80,127,46151,5.625,0
10.0.0.11,10.0.0.1,6,443,538,6819,11.472,0
10.0.0.10,10.0.0.7,6,443,345,76518,8.793,0
10.0.0.7,10.0.0.4,17,5201,193,49324,6.93,0
10.0.0.2,10.0.0.6,6,80,482,7437,2.432,0
192.168.1.156,10.0.0.12,6,80,56190,3957484,0.823,1
10.0.0.8,10.0.0.6,17,5201,286,24368,0.8,0
10.0.0.12,10.0.0.12,6,5201,147,34160,5.987,0
10.0.0.3,10.0.0.8,17,22,195,77520,5.513,0
10.0.0.2,10.0.0.10,17,5201,22,39053,5.259,0
10.0.0.10,10.0.0.7,6,80,799,44629,4.501,0
10.0.0.2,10.0.0.8,6,5201,693,70416,11.861,0
192.168.3.61,10.0.0.12,6,80,40850,1657117,1.643,1
192.168.5.243,10.0.0.12,6,80,26362,1446162,0.388,1
10.0.0.9,10.0.0.3,6,80,200,9781,7.343,0
10.0.0.6,10.0.0.3,6,22,467,2293,3.55,0
10.0.0.1,10.0.0.5,6,443,571,69976,5.367,0
10.0.0.7,10.0.0.9,6,80,278,21152,1.47,0
10.0.0.11,10.0.0.6,17,22,710,14969,6.04,0
192.168.2.207,10.0.0.12,6,80,50850,3298927,1.094,1
10.0.0.8,10.0.0.8,6,5201,789,42773,11.015,0
10.0.0.10,10.0.0.12,17,22,674,70522,9.801,0
192.168.4.12,10.0.0.12,6,80,14843,3605533,0.2,1
192.168.5.45,10.0.0.12,6,80,29987,765171,0.329,1
10.0.0.5,10.0.0.9,17,443,291,58454,1.391,0
192.168.5.119,10.0.0.12,6,80,54546,2882013,1.535,1
10.0.0.6,10.0.0.12,6,80,797,33336,8.062,0
192.168.1.171,10.0.0.12,6,80,45885,3030362,0.667,1
10.0.0.10,10.0.0.11,6,443,768,67492,0.53,0
10.0.0.11,10.0.0.6,6,443,49,38401,11.05,0
192.168.2.107,10.0.0.12,6,80,23752,2902910,0.39,1
10.0.0.9,10.0.0.4,6,5201,686,42688,8.329,0
10.0.0.8,10.0.0.11,17,443,734,74459,8.476,0
192.168.2.73,10.0.0.12,6,80,58327,1962199,1.248,1
192.168.5.57,10.0.0.12,6,80,46782,1124824,1.836,1
10.0.0.1,10.0.0.5,17,443,73,16295,5.852,0
10.0.0.6,10.0.0.2,6,22,327,52174,1.983,0
10.0.0.12,10.0.0.11,6,80,723,40329,10.278,0
10.0.0.1,10.0.0.7,17,443,776,38741,10.583,0
192.168.1.190,10.0.0.12,6,80,54655,2908320,1.69,1
192.168.4.50,10.0.0.12,6,80,40143,1832772,1.246,1
192.168.2.253,10.0.0.12,6,80,30919,3084618,1.661,1
10.0.0.12,10.0.0.1,17,443,339,63141,6.266,0
192.168.1.176,10.0.0.12,6,80,49529,2761557,1.616,1
192.168.3.254,10.0.0.12,6,80,13851,2944134,0.115,1
192.168.1.88,10.0.0.12,6,80,13531,1108468,1.232,1
10.0.0.1,10.0.0.11,17,443,29,48520,9.424,0
10.0.0.8,10.0.0.2,17,80,71,47398,7.913,0
10.0.0.3,10.0.0.3,6,443,748,58166,1.002,0
192.168.5.14,10.0.0.12,6,80,51012,1723701,1.637,1
10.0.0.12,10.0.0.1,6,80,394,27724,8.409,0
10.0.0.2,10.0.0.7,17,443,76,6792,3.929,0
192.168.2.91,10.0.0.12,6,80,26637,2412294,1.917,1
10.0.0.3,10.0.0.5,17,443,744,45742,2.841,0
10.0.0.1,10.0.0.1,17,22,224,22899,7.127,0
10.0.0.4,10.0.0.8,17,5201,608,14210,0.584,0
10.0.0.10,10.0.0.9,6,5201,544,55939,4.759,0
10.0.0.10,10.0.0.2,6,22,130,32070,4.012,0
10.0.0.2,10.0.0.4,6,5201,223,44442,3.987,0
10.0.0.6,10.0.0.4,6,22,704,18727,7.725,0
192.168.5.240,10.0.0.12,6,80,59654,3464557,0.646,1
192.168.1.61,10.0.0.12,6,80,56349,2230550,1.753,1
192.168.4.144,10.0.0.12,6,80,54692,590129,0.176,1
10.0.0.7,10.0.0.12,17,22,314,31935,1.603,0
192.168.1.143,10.0.0.12,6,80,33388,2664792,1.554,1
10.0.0.4,10.0.0.12,17,22,671,7952,9.514,0
192.168.5.7,10.0.0.12,6,80,26796,2533231,0.257,1
10.0.0.5,10.0.0.7,17,5201,88,48133,3.395,0
192.168.1.196,10.0.0.12,6,80,26167,2568002,1.989,1
10.0.0.9,10.0.0.3,17,22,429,43008,1.77,0
192.168.2.36,10.0.0.12,6,80,29949,1500898,1.125,1
10.0.0.1,10.0.0.11,6,22,463,56376,6.085,0
192.168.2.250,10.0.0.12,6,80,19492,3470033,1.416,1
10.0.0.10,10.0.0.6,17,22,445,72940,4.304,0
10.0.0.11,10.0.0.10,6,443,301,47344,4.239,0
192.168.3.66,10.0.0.12,6,80,18614,3774624,0.241,1
192.168.4.106,10.0.0.12,6,80,30302,1183793,0.295,1
10.0.0.11,10.0.0.3,17,5201,85,59660,11.893,0
10.0.0.3,10.0.0.2,6,443,324,78793,9.113,0
192.168.2.226,10.0.0.12,6,80,37798,878240,0.575,1
10.0.0.5,10.0.0.7,17,5201,48,23370,3.667,0
10.0.0.3,10.0.0.12,17,22,51,29481,9.257,0
10.0.0.3,10.0.0.6,6,443,291,37481,5.629,0
192.168.1.4,10.0.0.12,6,80,34951,909778,1.098,1
10.0.0.5,10.0.0.2,17,443,703,30937,9.702,0
192.168.2.92,10.0.0.12,6,80,27384,1502700,1.331,1
10.0.0.7,10.0.0.9,6,80,495,18142,7.945,0
10.0.0.5,10.0.0.8,17,22,114,18167,1.504,0
10.0.0.3,10.0.0.11,6,443,67,22602,3.47,0
10.0.0.12,10.0.0.5,17,22,536,13281,2.059,0
10.0.0.6,10.0.0.8,17,22,571,59106,2.054,0
10.0.0.8,10.0.0.1,6,5201,680,21032,1.361,0
10.0.0.8,10.0.0.2,17,80,474,18094,6.402,0
10.0.0.1,10.0.0.7,17,5201,711,41780,11.607,0
10.0.0.8,10.0.0.2,6,443,685,63096,11.389,0
192.168.4.60,10.0.0.12,6,80,32949,2632972,1.956,1
10.0.0.11,10.0.0.7,17,5201,723,39552,6.876,0
192.168.5.251,10.0.0.12,6,80,14270,3095942,0.788,1
10.0.0.12,10.0.0.4,6,22,780,9000,7.14,0
192.168.3.206,10.0.0.12,6,80,14440,1570990,1.343,1
10.0.0.12,10.0.0.12,6,22,64,13603,5.527,0
10.0.0.9,10.0.0.6,6,80,660,61652,10.958,0
192.168.5.40,10.0.0.12,6,80,20465,1926549,1.855,1
10.0.0.1,10.0.0.12,17,22,591,26118,2.518,0
192.168.3.202,10.0.0.12,6,80,55252,679577,0.87,1
192.168.4.158,10.0.0.12,6,80,45875,2375524,0.472,1
10.0.0.2,10.0.0.1,17,5201,288,69462,1.235,0
10.0.0.5,10.0.0.1,17,5201,736,21090,0.959,0
192.168.4.195,10.0.0.12,6,80,58233,1716174,1.331,1
10.0.0.2,10.0.0.9,6,22,358,16136,9.734,0
