Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Label
10.0.0.11,10.0.0.12,65000,80,6,463115,31,6,BENIGN
10.0.0.12,10.0.0.12,49295,80,17,411195,31,56,BENIGN
10.0.0.16,10.0.0.12,18509,80,6,413811,49,11,BENIGN
10.0.0.25,10.0.0.12,58182,80,6,451150,35,19,BENIGN
10.0.0.13,10.0.0.12,54539,80,17,184321,24,57,BENIGN
10.0.0.15,10.0.0.12,15633,80,6,347047,17,30,BENIGN
10.0.0.22,10.0.0.12,19282,80,6,406445,22,27,BENIGN
10.0.0.33,10.0.0.12,27217,80,17,493430,6,12,BENIGN
10.0.0.17,10.0.0.12,12726,80,17,21057,11,43,BENIGN
10.0.0.28,10.0.0.12,23678,80,17,229796,43,37,BENIGN
10.0.0.8,10.0.0.12,26268,80,6,134547,7,50,BENIGN
10.0.0.28,10.0.0.12,1134,80,6,191956,32,9,BENIGN
10.0.0.22,10.0.0.12,41863,80,17,348806,59,12,BENIGN
10.0.0.20,10.0.0.12,34258,80,17,350643,31,25,BENIGN
10.0.0.26,10.0.0.12,46716,80,17,291671,13,17,BENIGN
10.0.0.27,10.0.0.12,44600,80,17,356109,52,16,BENIGN
10.0.0.40,10.0.0.12,38320,80,17,213900,40,58,BENIGN
10.0.0.1,10.0.0.12,20938,80,17,111196,32,55,BENIGN
10.0.0.38,10.0.0.12,40782,80,17,244787,33,33,BENIGN
10.0.0.14,10.0.0.12,34524,80,17,417145,55,52,BENIGN
10.0.0.11,10.0.0.12,44202,80,6,149785,37,47,BENIGN
10.0.0.40,10.0.0.12,22990,80,6,430089,53,20,BENIGN
10.0.0.20,10.0.0.12,15746,80,6,78255,6,7,BENIGN
10.0.0.16,10.0.0.12,65507,80,17,321483,59,54,BENIGN
10.0.0.5,10.0.0.12,30870,80,17,465590,45,41,BENIGN
10.0.0.13,10.0.0.12,48101,80,17,260196,30,20,BENIGN
10.0.0.10,10.0.0.12,44019,80,6,469010,53,60,BENIGN
10.0.0.7,10.0.0.12,52038,80,17,115735,16,56,BENIGN
10.0.0.34,10.0.0.12,31468,80,6,293241,20,59,BENIGN
10.0.0.8,10.0.0.12,30938,80,6,421173,34,47,BENIGN
10.0.0.34,10.0.0.12,37653,80,17,499094,53,33,BENIGN
10.0.0.40,10.0.0.12,54436,80,17,436457,40,33,BENIGN
10.0.0.11,10.0.0.12,49760,80,17,236966,21,53,BENIGN
10.0.0.16,10.0.0.12,56065,80,17,402506,54,38,BENIGN
10.0.0.32,10.0.0.12,42098,80,6,144968,33,9,BENIGN
10.0.0.19,10.0.0.12,16391,80,17,177080,25,39,BENIGN
10.0.0.6,10.0.0.12,10092,80,6,122247,29,49,BENIGN
10.0.0.10,10.0.0.12,47319,80,6,34674,31,31,BENIGN
10.0.0.22,10.0.0.12,36584,80,17,218985,8,18,BENIGN
10.0.0.27,10.0.0.12,26548,80,6,450174,53,41,BENIGN
10.0.0.25,10.0.0.12,32283,80,6,495268,27,24,BENIGN
10.0.0.25,10.0.0.12,56955,80,17,283182,52,52,BENIGN
10.0.0.35,10.0.0.12,53444,80,6,256972,19,22,BENIGN
10.0.0.28,10.0.0.12,32851,80,6,204873,26,47,BENIGN
10.0.0.26,10.0.0.12,48483,80,6,441667,34,13,BENIGN
10.0.0.40,10.0.0.12,36028,80,6,476491,30,42,BENIGN
10.0.0.37,10.0.0.12,44474,80,6,45012,46,32,BENIGN
10.0.0.9,10.0.0.12,57833,80,17,96278,8,21,BENIGN
10.0.0.25,10.0.0.12,22477,80,6,239393,25,26,BENIGN
10.0.0.25,10.0.0.12,19259,80,17,133262,58,10,BENIGN
10.0.0.31,10.0.0.12,2294,80,6,184480,19,46,BENIGN
10.0.0.5,10.0.0.12,52222,80,6,396435,6,20,BENIGN
10.0.0.13,10.0.0.12,56023,80,6,326758,14,20,BENIGN
10.0.0.9,10.0.0.12,32059,80,6,296682,18,34,BENIGN
10.0.0.17,10.0.0.12,51283,80,17,88969,43,43,BENIGN
10.0.0.8,10.0.0.12,51997,80,6,164073,11,42,BENIGN
10.0.0.2,10.0.0.12,61899,80,17,302883,48,29,BENIGN
10.0.0.26,10.0.0.12,62724,80,6,40844,42,49,BENIGN
10.0.0.16,10.0.0.12,7702,80,17,446798,48,43,BENIGN
10.0.0.8,10.0.0.12,53205,80,6,183034,39,32,BENIGN
10.0.0.24,10.0.0.12,5543,80,17,7633,59,31,BENIGN
10.0.0.32,10.0.0.12,7940,80,17,190890,45,58,BENIGN
10.0.0.30,10.0.0.12,47378,80,6,229320,16,51,BENIGN
10.0.0.34,10.0.0.12,64297,80,17,323915,56,39,BENIGN
10.0.0.31,10.0.0.12,31489,80,17,433922,51,42,BENIGN
10.0.0.18,10.0.0.12,22146,80,6,436542,10,22,BENIGN
10.0.0.29,10.0.0.12,17005,80,17,299765,44,47,BENIGN
10.0.0.25,10.0.0.12,23070,80,6,260158,59,25,BENIGN
10.0.0.12,10.0.0.12,32976,80,6,187030,56,21,BENIGN
10.0.0.22,10.0.0.12,19351,80,17,292394,5,38,BENIGN
10.0.0.13,10.0.0.12,6634,80,6,378526,31,36,BENIGN
10.0.0.36,10.0.0.12,50711,80,6,363078,35,46,BENIGN
10.0.0.32,10.0.0.12,30395,80,6,49786,23,19,BENIGN
10.0.0.26,10.0.0.12,46360,80,6,161540,47,42,BENIGN
10.0.0.24,10.0.0.12,32039,80,17,224086,52,40,BENIGN
10.0.0.22,10.0.0.12,24080,80,17,143038,24,21,BENIGN
10.0.0.15,10.0.0.12,8931,80,6,166438,12,52,BENIGN
10.0.0.35,10.0.0.12,63340,80,6,101422,18,52,BENIGN
10.0.0.31,10.0.0.12,19144,80,17,53704,58,17,BENIGN
10.0.0.19,10.0.0.12,15932,80,17,95079,24,5,BENIGN
10.0.0.35,10.0.0.12,9319,80,17,24863,8,40,BENIGN
10.0.0.19,10.0.0.12,46729,80,6,335427,60,53,BENIGN
10.0.0.32,10.0.0.12,7747,80,6,301974,23,35,BENIGN
10.0.0.31,10.0.0.12,29890,80,17,97659,8,21,BENIGN
10.0.0.31,10.0.0.12,8500,80,6,211086,36,9,BENIGN
10.0.0.37,10.0.0.12,42275,80,6,80548,14,56,BENIGN
10.0.0.37,10.0.0.12,63225,80,17,45659,20,12,BENIGN
10.0.0.36,10.0.0.12,51122,80,17,318885,43,55,BENIGN
10.0.0.40,10.0.0.12,15814,80,17,237199,33,24,BENIGN
10.0.0.38,10.0.0.12,29127,80,17,299125,44,8,BENIGN
10.0.0.40,10.0.0.12,63945,80,6,497810,53,18,BENIGN
10.0.0.14,10.0.0.12,18367,80,6,83343,20,16,BENIGN
10.0.0.36,10.0.0.12,5943,80,6,2402,31,33,BENIGN
10.0.0.39,10.0.0.12,31820,80,17,18112,19,23,BENIGN
10.0.0.19,10.0.0.12,47094,80,17,38318,48,19,BENIGN
10.0.0.17,10.0.0.12,52655,80,6,223895,12,39,BENIGN
10.0.0.15,10.0.0.12,43467,80,6,477269,22,57,BENIGN
10.0.0.10,10.0.0.12,5703,80,6,87991,55,24,BENIGN
10.0.0.39,10.0.0.12,50107,80,17,231242,12,34,BENIGN
10.0.0.20,10.0.0.12,46881,80,17,495233,22,37,BENIGN
10.0.0.35,10.0.0.12,33385,80,17,43174,43,7,BENIGN
10.0.0.28,10.0.0.12,49162,80,17,317519,21,6,BENIGN
10.0.0.6,10.0.0.12,16026,80,6,401954,48,57,BENIGN
10.0.0.18,10.0.0.12,38788,80,6,401088,53,16,BENIGN
10.0.0.31,10.0.0.12,35034,80,17,481285,22,16,BENIGN
10.0.0.38,10.0.0.12,29590,80,17,48837,35,27,BENIGN
10.0.0.27,10.0.0.12,22867,80,17,352342,11,59,BENIGN
10.0.0.11,10.0.0.12,22638,80,17,364684,36,23,BENIGN
10.0.0.26,10.0.0.12,54341,80,6,239459,10,25,BENIGN
10.0.0.17,10.0.0.12,22210,80,6,406037,30,60,BENIGN
10.0.0.33,10.0.0.12,55086,80,6,345803,60,39,BENIGN
10.0.0.30,10.0.0.12,28106,80,6,99347,38,28,BENIGN
10.0.0.40,10.0.0.12,50598,80,17,328894,33,53,BENIGN
10.0.0.4,10.0.0.12,14364,80,17,288949,13,23,BENIGN
10.0.0.29,10.0.0.12,58751,80,17,64662,6,45,BENIGN
10.0.0.39,10.0.0.12,53407,80,6,373130,15,24,BENIGN
10.0.0.36,10.0.0.12,1920,80,17,49868,19,58,BENIGN
10.0.0.8,10.0.0.12,31265,80,6,340586,58,14,BENIGN
10.0.0.32,10.0.0.12,62146,80,17,267795,50,22,BENIGN
10.0.0.27,10.0.0.12,55728,80,17,248579,20,34,BENIGN
10.0.0.36,10.0.0.12,10503,80,17,100934,43,37,BENIGN
10.0.0.9,10.0.0.12,57648,80,6,145833,54,55,BENIGN
10.0.0.27,10.0.0.12,23298,80,17,431204,5,23,BENIGN
10.0.0.20,10.0.0.12,55908,80,17,454645,14,33,BENIGN
10.0.0.35,10.0.0.12,32765,80,17,175294,40,53,BENIGN
10.0.0.35,10.0.0.12,25744,80,17,490083,25,60,BENIGN
10.0.0.13,10.0.0.12,65300,80,6,300786,29,19,BENIGN
10.0.0.27,10.0.0.12,3884,80,17,391439,35,50,BENIGN
10.0.0.25,10.0.0.12,26326,80,6,260694,7,13,BENIGN
10.0.0.33,10.0.0.12,64289,80,17,456973,11,60,BENIGN
10.0.0.29,10.0.0.12,7558,80,17,9046,51,14,BENIGN
10.0.0.27,10.0.0.12,58101,80,6,40231,35,55,BENIGN
10.0.0.17,10.0.0.12,23211,80,17,341701,10,59,BENIGN
10.0.0.22,10.0.0.12,56883,80,17,167021,45,50,BENIGN
10.0.0.32,10.0.0.12,58196,80,6,324726,9,20,BENIGN
10.0.0.19,10.0.0.12,15932,80,6,228526,11,53,BENIGN
10.0.0.7,10.0.0.12,30100,80,6,364856,24,6,BENIGN
10.0.0.3,10.0.0.12,22282,80,6,154809,27,28,BENIGN
10.0.0.28,10.0.0.12,10564,80,6,279484,31,41,BENIGN
10.0.0.12,10.0.0.12,12164,80,6,42402,44,60,BENIGN
10.0.0.25,10.0.0.12,41637,80,6,261920,42,14,BENIGN
10.0.0.15,10.0.0.12,31245,80,17,241947,21,47,BENIGN
10.0.0.1,10.0.0.12,59934,80,17,473493,23,48,BENIGN
10.0.0.35,10.0.0.12,11377,80,6,232593,27,42,BENIGN
10.0.0.20,10.0.0.12,42897,80,17,362923,21,34,BENIGN
10.0.0.20,10.0.0.12,14079,80,17,448393,35,11,BENIGN
10.0.0.16,10.0.0.12,26017,80,17,302366,23,49,BENIGN
10.0.0.19,10.0.0.12,2461,80,17,144906,5,41,BENIGN
10.0.0.4,10.0.0.12,60702,80,17,437647,23,54,BENIGN
10.0.0.15,10.0.0.12,40808,80,17,115821,45,17,BENIGN
10.0.0.40,10.0.0.12,17449,80,6,330382,11,45,BENIGN
10.0.0.3,10.0.0.12,21270,80,17,18492,42,28,BENIGN
10.0.0.9,10.0.0.12,6930,80,17,172294,52,31,BENIGN
10.0.0.12,10.0.0.12,14183,80,6,413359,39,28,BENIGN
10.0.0.34,10.0.0.12,33909,80,17,436406,15,21,BENIGN
10.0.0.31,10.0.0.12,64422,80,17,392412,60,26,BENIGN
10.0.0.8,10.0.0.12,31716,80,6,74797,53,19,BENIGN
10.0.0.26,10.0.0.12,64414,80,17,48344,55,30,BENIGN
10.0.0.1,10.0.0.12,18355,80,6,239438,28,48,BENIGN
10.0.0.17,10.0.0.12,39333,80,17,432183,45,28,BENIGN
10.0.0.7,10.0.0.12,45250,80,6,248189,6,44,BENIGN
10.0.0.36,10.0.0.12,22520,80,6,340556,9,45,BENIGN
10.0.0.30,10.0.0.12,60621,80,17,341388,31,12,BENIGN
10.0.0.9,10.0.0.12,3995,80,6,160574,36,12,BENIGN
10.0.0.7,10.0.0.12,16411,80,6,204762,34,28,BENIGN
10.0.0.35,10.0.0.12,28491,80,6,465211,31,46,BENIGN
10.0.0.7,10.0.0.12,55660,80,17,323779,31,22,BENIGN
10.0.0.3,10.0.0.12,46262,80,17,114911,33,33,BENIGN
10.0.0.16,10.0.0.12,57086,80,17,53090,48,28,BENIGN
10.0.0.35,10.0.0.12,60117,80,17,32745,30,22,BENIGN
10.0.0.13,10.0.0.12,64476,80,6,498554,59,57,BENIGN
10.0.0.30,10.0.0.12,7031,80,6,337437,45,43,BENIGN
10.0.0.2,10.0.0.12,4338,80,17,128700,13,55,BENIGN
10.0.0.37,10.0.0.12,14472,80,6,436063,53,40,BENIGN
10.0.0.14,10.0.0.12,39453,80,6,427273,60,19,BENIGN
10.0.0.22,10.0.0.12,51773,80,6,414476,43,5,BENIGN
10.0.0.18,10.0.0.12,57280,80,6,69153,39,21,BENIGN
10.0.0.12,10.0.0.12,8228,80,6,70102,5,27,BENIGN
10.0.0.16,10.0.0.12,39615,80,17,9273,16,21,BENIGN
10.0.0.4,10.0.0.12,9331,80,17,276820,12,52,BENIGN
10.0.0.5,10.0.0.12,32235,80,17,408904,28,37,BENIGN
10.0.0.38,10.0.0.12,8170,80,17,265156,19,44,BENIGN
10.0.0.3,10.0.0.12,48684,80,17,241146,46,6,BENIGN
10.0.0.4,10.0.0.12,32414,80,17,224490,48,11,BENIGN
10.0.0.32,10.0.0.12,47711,80,17,39530,10,25,BENIGN
10.0.0.39,10.0.0.12,10745,80,6,67160,22,44,BENIGN
10.0.0.38,10.0.0.12,36961,80,17,200703,43,38,BENIGN
10.0.0.19,10.0.0.12,30758,80,17,52998,55,49,BENIGN
10.0.0.8,10.0.0.12,56912,80,6,226480,33,19,BENIGN
10.0.0.27,10.0.0.12,23236,80,17,210049,31,51,BENIGN
10.0.0.7,10.0.0.12,21507,80,17,164852,47,21,BENIGN
10.0.0.24,10.0.0.12,63518,80,6,361092,35,9,BENIGN
10.0.0.6,10.0.0.12,55535,80,6,49879,32,11,BENIGN
10.0.0.24,10.0.0.12,54224,80,6,292698,8,42,BENIGN
10.0.0.36,10.0.0.12,37834,80,17,352279,12,31,BENIGN
10.0.0.23,10.0.0.12,58276,80,17,456130,51,8,BENIGN
10.0.0.19,10.0.0.12,40372,80,17,185363,11,41,BENIGN
10.0.0.33,10.0.0.12,14966,80,6,345318,35,19,BENIGN
10.0.0.7,10.0.0.12,23969,80,17,61232,53,22,BENIGN
10.0.0.37,10.0.0.12,15845,80,17,444104,40,54,BENIGN
10.0.0.40,10.0.0.12,41235,80,6,320288,47,58,BENIGN
10.0.0.18,10.0.0.12,2921,80,6,144272,49,53,BENIGN
10.0.0.20,10.0.0.12,61417,80,17,185037,5,16,BENIGN
10.0.0.10,10.0.0.12,38138,80,17,37482,14,52,BENIGN
10.0.0.2,10.0.0.12,7037,80,6,198234,31,34,BENIGN
10.0.0.22,10.0.0.12,11339,80,17,164387,51,25,BENIGN
10.0.0.37,10.0.0.12,40098,80,6,464125,8,14,BENIGN
10.0.0.11,10.0.0.12,50466,80,6,354353,10,22,BENIGN
10.0.0.29,10.0.0.12,44404,80,17,255626,43,33,BENIGN
10.0.0.27,10.0.0.12,18926,80,6,396807,37,12,BENIGN
10.0.0.23,10.0.0.12,29198,80,6,149502,48,48,BENIGN
10.0.0.38,10.0.0.12,32915,80,17,24811,19,30,BENIGN
10.0.0.39,10.0.0.12,4614,80,6,108176,24,18,BENIGN
10.0.0.9,10.0.0.12,51104,80,17,152753,25,12,BENIGN
10.0.0.1,10.0.0.12,33620,80,17,93114,13,29,BENIGN
10.0.0.35,10.0.0.12,47139,80,6,263281,40,58,BENIGN
10.0.0.23,10.0.0.12,5747,80,17,452812,52,7,BENIGN
10.0.0.28,10.0.0.12,2252,80,17,483954,9,60,BENIGN
10.0.0.21,10.0.0.12,38756,80,17,301626,30,50,BENIGN
10.0.0.27,10.0.0.12,19997,80,6,213353,6,25,BENIGN
10.0.0.11,10.0.0.12,53539,80,17,437221,49,28,BENIGN
10.0.0.6,10.0.0.12,29644,80,6,128567,32,42,BENIGN
10.0.0.26,10.0.0.12,35362,80,6,208495,60,24,BENIGN
10.0.0.22,10.0.0.12,15544,80,17,409482,15,9,BENIGN
10.0.0.33,10.0.0.12,42523,80,6,279189,37,17,BENIGN
10.0.0.23,10.0.0.12,24033,80,6,124872,11,14,BENIGN
10.0.0.17,10.0.0.12,13952,80,6,316830,14,53,BENIGN
10.0.0.5,10.0.0.12,12633,80,17,244245,53,41,BENIGN
10.0.0.38,10.0.0.12,30443,80,17,454114,45,25,BENIGN
10.0.0.10,10.0.0.12,29844,80,6,246849,33,45,BENIGN
10.0.0.20,10.0.0.12,53212,80,17,311074,8,27,BENIGN
10.0.0.33,10.0.0.12,5886,80,17,243086,33,7,BENIGN
10.0.0.4,10.0.0.12,25189,80,17,41229,46,60,BENIGN
10.0.0.6,10.0.0.12,41329,80,17,243594,42,40,BENIGN
10.0.0.3,10.0.0.12,30497,80,6,169572,43,35,BENIGN
10.0.0.33,10.0.0.12,10910,80,6,237203,11,56,BENIGN
10.0.0.22,10.0.0.12,65405,80,6,265528,46,16,BENIGN
10.0.0.3,10.0.0.12,17260,80,17,231383,38,38,BENIGN
10.0.0.40,10.0.0.12,11427,80,17,196481,23,29,BENIGN
10.0.0.27,10.0.0.12,51779,80,17,356937,43,8,BENIGN
10.0.0.22,10.0.0.12,5343,80,17,50548,40,48,BENIGN
10.0.0.25,10.0.0.12,19645,80,17,380444,59,47,BENIGN
10.0.0.39,10.0.0.12,58255,80,6,175777,10,42,BENIGN
10.0.0.10,10.0.0.12,61103,80,17,163650,46,49,BENIGN
10.0.0.26,10.0.0.12,9474,80,6,163310,40,29,BENIGN
10.0.0.22,10.0.0.12,54316,80,6,352333,49,58,BENIGN
10.0.0.34,10.0.0.12,7148,80,17,267594,28,6,BENIGN
10.0.0.24,10.0.0.12,21265,80,6,499686,18,26,BENIGN
10.0.0.32,10.0.0.12,13607,80,6,73123,14,9,BENIGN
10.0.0.19,10.0.0.12,56364,80,6,267175,54,39,BENIGN
10.0.0.34,10.0.0.12,3497,80,17,460482,54,44,BENIGN
10.0.0.9,10.0.0.12,40165,80,17,81872,15,16,BENIGN
10.0.0.40,10.0.0.12,54045,80,6,379107,33,7,BENIGN
10.0.0.27,10.0.0.12,24898,80,6,233888,44,23,BENIGN
10.0.0.29,10.0.0.12,16359,80,6,163250,56,55,BENIGN
10.0.0.31,10.0.0.12,60266,80,6,193854,48,41,BENIGN
10.0.0.29,10.0.0.12,31280,80,17,408961,29,37,BENIGN
10.0.0.34,10.0.0.12,28461,80,6,429286,17,56,BENIGN
10.0.0.39,10.0.0.12,10094,80,17,28357,46,35,BENIGN
10.0.0.24,10.0.0.12,37366,80,6,373978,59,38,BENIGN
10.0.0.8,10.0.0.12,19705,80,6,401092,15,22,BENIGN
10.0.0.29,10.0.0.12,60354,80,6,436707,32,10,BENIGN
10.0.0.15,10.0.0.12,54547,80,17,464800,27,6,BENIGN
10.0.0.27,10.0.0.12,4514,80,17,264196,28,20,BENIGN
10.0.0.25,10.0.0.12,6372,80,17,118722,6,25,BENIGN
10.0.0.7,10.0.0.12,56020,80,17,415911,14,13,BENIGN
10.0.0.3,10.0.0.12,19824,80,17,365942,58,13,BENIGN
10.0.0.31,10.0.0.12,30423,80,6,475930,10,6,BENIGN
10.0.0.17,10.0.0.12,15157,80,6,288731,51,43,BENIGN
10.0.0.34,10.0.0.12,28762,80,6,407937,23,20,BENIGN
10.0.0.20,10.0.0.12,9009,80,6,126010,31,45,BENIGN
10.0.0.40,10.0.0.12,30981,80,6,59121,58,36,BENIGN
10.0.0.39,10.0.0.12,36154,80,6,332326,37,41,BENIGN
10.0.0.16,10.0.0.12,48114,80,6,153710,32,5,BENIGN
10.0.0.40,10.0.0.12,24146,80,6,300192,31,16,BENIGN
10.0.0.6,10.0.0.12,35331,80,17,36483,38,39,BENIGN
10.0.0.33,10.0.0.12,52562,80,6,205710,60,35,BENIGN
10.0.0.3,10.0.0.12,42683,80,17,196717,21,52,BENIGN
10.0.0.2,10.0.0.12,24426,80,6,181775,20,51,BENIGN
10.0.0.7,10.0.0.12,51585,80,17,70945,7,27,BENIGN
10.0.0.35,10.0.0.12,23211,80,6,436360,54,48,BENIGN
10.0.0.30,10.0.0.12,65302,80,17,332211,16,56,BENIGN
10.0.0.9,10.0.0.12,5159,80,17,20390,23,17,BENIGN
10.0.0.3,10.0.0.12,52870,80,6,465409,7,25,BENIGN
10.0.0.20,10.0.0.12,34800,80,17,428507,39,35,BENIGN
10.0.0.17,10.0.0.12,3423,80,6,151004,27,60,BENIGN
10.0.0.4,10.0.0.12,57764,80,17,144244,12,56,BENIGN
10.0.0.24,10.0.0.12,29660,80,17,390707,33,29,BENIGN
10.0.0.22,10.0.0.12,64837,80,6,261153,49,36,BENIGN
10.0.0.24,10.0.0.12,61599,80,17,421032,10,51,BENIGN
10.0.0.28,10.0.0.12,6196,80,17,316859,57,16,BENIGN
10.0.0.35,10.0.0.12,20276,80,17,54790,10,25,BENIGN
10.0.0.19,10.0.0.12,21110,80,17,316947,50,32,BENIGN
10.0.0.11,10.0.0.12,46228,80,17,185311,33,7,BENIGN
10.0.0.23,10.0.0.12,41318,80,17,144946,45,55,BENIGN
10.0.0.4,10.0.0.12,5941,80,17,191479,37,56,BENIGN
10.0.0.11,10.0.0.12,63466,80,6,75857,59,43,BENIGN
10.0.0.29,10.0.0.12,3304,80,6,36249,20,54,BENIGN
10.0.0.24,10.0.0.12,24757,80,17,498794,41,7,BENIGN
10.0.0.39,10.0.0.12,11079,80,17,498456,28,28,BENIGN
10.0.0.29,10.0.0.12,51033,80,6,301900,13,38,BENIGN
10.0.0.24,10.0.0.12,27109,80,17,341556,22,20,BENIGN
10.0.0.8,10.0.0.12,2722,80,6,262642,38,29,BENIGN
10.0.0.36,10.0.0.12,8741,80,17,407304,21,50,BENIGN
